Category: All categories

Month,Go: (Worldwide),Python: (Worldwide),C++: (Worldwide),Rust: (Worldwide),javascript: (Worldwide)
2004-01,4,16,82,4,91
2004-02,4,20,91,5,100
2004-03,3,19,88,5,94
2004-04,3,18,90,6,96
2004-05,3,17,84,6,91
2004-06,3,16,80,6,97
2004-07,3,18,75,7,93
2004-08,3,19,70,7,91
2004-09,4,17,77,6,90
2004-10,3,17,81,5,80
2004-11,3,16,78,5,82
2004-12,4,17,68,4,78
2005-01,3,16,68,4,78
2005-02,3,17,70,4,78
2005-03,3,17,70,5,75
2005-04,3,15,71,5,76
2005-05,4,18,68,6,78
2005-06,3,17,64,6,80
2005-07,4,16,59,6,79
2005-08,4,17,56,6,74
2005-09,4,16,60,5,75
2005-10,4,20,63,5,71
2005-11,4,17,61,4,72
2005-12,4,17,56,4,68
2006-01,4,18,51,4,69
2006-02,4,18,55,4,70
2006-03,4,17,57,4,71
2006-04,4,17,54,5,65
2006-05,4,16,52,5,67
2006-06,4,16,49,5,70
2006-07,5,17,42,6,62
2006-08,5,17,44,6,65
2006-09,5,18,46,5,63
2006-10,5,17,48,5,63
2006-11,5,17,50,4,64
2006-12,5,15,43,4,57
2007-01,5,17,43,4,56
2007-02,5,16,42,4,58
2007-03,5,16,44,4,60
2007-04,5,16,44,4,56
2007-05,5,17,43,5,58
2007-06,5,17,41,5,56
2007-07,5,17,38,5,59
2007-08,5,17,36,5,60
2007-09,5,16,42,4,52
2007-10,5,16,42,4,56
2007-11,5,17,43,4,55
2007-12,5,16,36,3,49
2008-01,5,15,36,4,49
2008-02,5,16,39,4,50
2008-03,5,15,39,4,51
2008-04,5,17,39,4,53
2008-05,5,16,36,4,48
2008-06,5,16,34,4,50
2008-07,5,16,33,5,50
2008-08,5,15,29,5,46
2008-09,6,17,35,4,47
2008-10,5,16,38,4,48
2008-11,5,16,37,3,42
2008-12,6,16,33,3,43
2009-01,6,16,30,3,43
2009-02,6,17,34,3,44
2009-03,6,17,33,4,46
2009-04,5,17,35,5,46
2009-05,6,15,33,5,43
2009-06,5,16,31,5,44
2009-07,6,17,29,6,47
2009-08,6,16,29,5,42
2009-09,6,16,33,5,39
2009-10,7,16,35,5,42
2009-11,8,16,35,4,41
2009-12,7,15,30,4,36
2010-01,8,14,33,4,37
2010-02,8,16,31,4,39
2010-03,8,16,34,5,39
2010-04,9,16,34,5,39
2010-05,9,16,31,6,37
2010-06,9,15,30,5,36
2010-07,9,15,25,6,34
2010-08,11,15,26,6,33
2010-09,11,15,28,5,32
2010-10,12,16,31,5,32
2010-11,13,16,31,4,32
2010-12,14,15,27,4,31
2011-01,15,15,24,4,29
2011-02,16,16,27,4,32
2011-03,16,17,28,4,33
